"dataset_for_matching","n"
"gse15605",138
"gse156063",105
"gse156299",2
"gse157103",1027
"gse157425",2
"gse159812",3
"gse160876",2
"gse161731",21
"gse161777",5
"gse161918",5
"gse162249",1
"gse162335",2
"gse162577",3
"gse163668",7
"gse164378",16
"gse16476",56
"gse164760",28
"gse165063",2
"gse165087",1
"gse16515",908
"gse166489",3
"gse167029",2
"gse16879",89
"gse17025",146
"gse17051",11
"gse171555",2
"gse171975",10
"gse174072",7
"gse174818",12
"gse17536",380
"gse17538",187
"gse175543",1
"gse17590",20
"gse17618",75
"gse17920",9
"gse180759",4
"gse18088",21
"gse18229",175
"gse185006",1
"gse18520",134
"gse18927",40
"gse19188",849
"gse20",1
"gse201241",2
"gse20540",1
"gse20734",3
"gse21029",10
"gse2109",283
"gse21257",2280
"gse22138",944
"gse22405",22
"gse22428",4
"gse23554",33
"gse24447",12
"gse24988",99
"gse25001",15
"gse25097",192
"gse25426",2
"gse26193",101
"gse26939",43
"gse27003",8
"gse27034",10
"gse27597",5
"gse27651",60
"gse27890",7
"gse28109",4
"gse28405",15
"gse28422",12
"gse28874",2
"gse29016",11
"gse29413",7
"gse30161",67
"gse30219",416
"gse30654",6
"gse31099",1
"gse31210",1254
"gse31312",62
"gse32079",2
"gse32323",309
"gse32591",140
"gse32606",2
"gse32863",402
"gse33113",243
"gse33267",24
"gse34620",44
"gse35156",45
"gse3526",280
"gse36030",9
"gse36054",5
"gse36133",178
"gse37371",1
"gse37385",14
"gse37745",280
"gse37768",65
"gse37892",161
"gse3834",6
"gse38351",10
"gse38832",177
"gse39582",4530
"gse40628",12
"gse42127",97
"gse4290",237
"gse43106",1
"gse43777",48
"gse44076",84
"gse44672",5
"gse4475",48
"gse44770",27
"gse45042",14
"gse45223",2
"gse45326",9
"gse45547",110
"gse46517",73
"gse47206",1
"gse4732",9
"gse47460",426
"gse47797",2
"gse47881",11
"gse48267",8
"gse48278",3
"gse48558",7
"gse49036",21
"gse49149",35
"gse49292",2
"gse49541",127
"gse49656",16
"gse49669",2
"gse49710",626
"gse50161",352
"gse50385",8
"gse50695",2
"gse50759",12
"gse5081",14
"gse51403",16
"gse51808",90
"gse51954",10
"gse51997",7
"gse52317",1
"gse52457",39
"gse52509",18
"gse52709",4
"gse53697",15
"gse55407",3
"gse55643",19
"gse55763",10
"gse56768",12
"gse57584",2
"gse57691",246
"gse57945",19
"gse57973",2
"gse58173",2
"gse58661",7
"gse59071",34
"gse59676",2
"gse60024",1
"gse60274",26
"gse60502",102
"gse61077",5
"gse61368",2
"gse61753",2
"gse61944",8
"gse6205",6
"gse62563",2
"gse62564",86
"gse6269",108
"gse63155",30
"gse63156",15
"gse63157",22
"gse63525",1019
"gse63885",89
"gse63898",45
"gse64041",196
"gse64425",4
"gse64495",2
"gse65013",6
"gse65159",6
"gse65185",12
"gse65776",3
"gse66081",6
"gse66270",20
"gse66271",10
"gse66351",16
"gse66411",3
"gse67828",2
"gse67835",52
"gse68012",2
"gse68379",29
"gse68465",3150
"gse69241",3
"gse70371",1
"gse70394",2
"gse70580",6
"gse70813",6
"gse7127",8
"gse71315",8
"gse72019",2
"gse72094",4312
"gse72095",6
"gse72798",8
"gse72816",39
"gse73339",4
"gse73515",6
"gse73518",2
"gse74193",15
"gse74672",48
"gse75478",10
"gse7621",60
"gse76360",10
"gse76598",1
"gse76925",84
"gse77509",31
"gse77661",15
"gse78286",2
"gse80060",36
"gse80151",15
"gse80154",5
"gse80261",3
"gse80820",9
"gse81547",28
"gse81861",60
"gse82191",1
"gse8397",40
"gse83978",5
"gse84274",2
"gse84662",3
"gse84795",6
"gse84976",204
"gse85047",162
"gse85218",28
"gse85241",100
"gse8678",2
"gse87053",10
"gse87112",28
"gse87286",3
"gse87544",24
"gse87614",1
"gse89183",2
"gse89632",67
"gse89803",10
"gse90074",18
"gse90496",147
"gse90683",59
"gse90803",2
"gse91306",1
"gse91337",1
"gse92707",9
"gse92742",125
"gse93374",20
"gse93764",1
"gse93777",3
"gse94489",8
"gse94493",2
"gse94533",15
"gse94734",1
"gse94782",6
"gse94822",5
"gse95683",3
"gse96107",84
"gse97139",1
"gse97752",5
"gse98671",14
"gse9891",823
"gse9899",35
"gse99039",105
"gse99454",1
"gse99464",1
"gse99615",2
"gse99933",28
"gse99967",48
"gsm1041375",1
"gsm1171650",1
"gsm1183111",1
"gsm1183112",1
"gsm1183114",1
"gsm1517546",3
"gsm1517547",4
"gsm1517555",3
"gsm1517556",3
"gsm1517569",4
"gsm1517570",2
"gsm1517572",3
"gsm1517573",2
"gsm1917298",1
"gsm2071742",1
"gsm2071745",1
"gsm2635593",1
"gsm288345",2
"gsm288349",1
"gsm288352",2
"gsm288355",5
"gsm3660650",33
"gsm440256",3
"gsm611192",2
"gsm736570",5
"gsm747534",2
"gtx20015",1
"gu190215",9
"gw311616",6
"gw441756",52
"hir99021",15
"hla00455",1
"ib401002",8
"icbm152",656
"inc01094",3
"iseq00010",364
"jaspar2018",21
"jaspar2020",110
"jn632591",4
"jq673480",20
"kf364615",2
"kiaa0101",16
"kiaa1429",9
"kj660347",10
"kp096421",4
"kr559017",1
"kx245154",3
"ldn19318",6
"linc01094",63
"linc01128",2
"ly300912",6
"ly404187",13
"mh116147",17
"misev2018",14
"mk01",5
"mk03",2
"mk09",2
"mk250",2
"mk401",1
"mn433617",1
"mn908947",2450
"mn996528",18
"mr223815",1
"mt007544",16
"mt019529",20
"mt06",1
"mt093571",15
"mt107528",2
"mt599835",2
"mt599919",2
"mw25",1
"mz16",105
"mz18",2
"nc045512",3
"nc_000898",16
"nc_000913",359
"nc_001664",27
"nc_002645",83
"nc_003112",16
"nc_004022",2
"nc_005831",58
"nc_007605",79
"nc_007793",25
"nc_012920",279
"nc_045512",7424
"ng00075",8
"nm_000033",54
"nm_000059",536
"nm_000142",32
"nm_000298",13
"nm_000325",11
"nm_000689",17
"nm_000964",3
"nm_000965",10
"nm_001101",585
"nm_001165260",2
"nm_001290107",1
"nm_001310190",2
"nm_001371415",36
"nm_001376",22
"nm_001690",2
"nm_001716",1
"nm_002079",2
"nm_002495",9
"nm_002957",7
"nm_003172",6
"nm_003670",3
"nm_005164",1
"nm_006238",7
"nm_006342",8
"nm_006472",11
"nm_0065",2
"nm_006517",26
"nm_007294",528
"nm_007551",3
"nm_011119",5
"nm_011359",2
"nm_012463",2
"nm_012538",2
"nm_014314",46
"nm_017986",2
"nm_018727",4
"nm_020661",9
"nm_021614",4
"nm_024652",3
"nm_025114",22
"nm_025216",14
"nm_033326",3
"nm_181726",1
"nm_198514",2
"on158818",1
"on186499",2
"on186526",2
"osf_8jye2",3
"osf_98j7u",3
"osf_uxftz",2
"patu8988",5
"pd032590",20
"pd123319",793
"pd146176",132
"pd173074",552
"pepmap100",24
"phs000007",194
"phs000092",35
"phs000125",15
"phs000126",8
"phs000138",4
"phs000142",2
"phs000147",16
"phs000168",23
"phs000169",13
"phs000170",6
"phs000178",274
"phs000187",33
"phs000196",20
"phs000206",22
"phs000235",18
"phs000237",7
"phs000274",6
"phs000283",3
"phs000284",26
"phs000286",51
"phs000289",4
"phs000294",6
"phs000297",3
"phs000303",17
"phs000328",4
"phs000336",11
"phs000344",3
"phs000346",8
"phs000351",6
"phs000356",8
"phs000360",12
"phs000386",15
"phs000389",6
"phs000394",9
"phs000397",15
"phs000421",6
"phs000424",1696
"phs000428",46
"phs000460",3
"phs000467",9
"phs000557",9
"phs000572",52
"phs000613",4
"phs000652",8
"phs000678",1
"phs000789",1
"phs000812",9
"phs000864",1
"phs000869",2
"phs000882",3
"phs000893",2
"phs000982",3
"phs001039",11
"phs001172",1
"phs001368",34
"phs001395",6
"phs001584",3
"phs001642",2
"phs002068",2
"prjeb20654",10
"prjeb25605",6
"prjeb26467",1
"prjeb3289",5
"prjeb37677",2
"prjeb38339",4
"prjeb38742",3
"prjeb39631",2
"prjeb46098",1
"prjna170813",6
"prjna185305",4
"prjna200694",7
"prjna275349",7
"prjna284224",1
"prjna293450",1
"prjna299871",3
"prjna33175",10
"prjna338012",4
"prjna385337",12
"prjna48479",13
"prjna506071",13
"prjna523380",80
"prjna531091",1
"prjna544540",1
"prjna544731",27
"prjna547720",1
"prjna558949",1
"prjna629893",1
"prjna71493",2
"prjna726991",2
"pxd002952",22
"pxd004894",11
"pxd005573",10
"pxd006722",2
"pxd010012",3
"pxd010317",1
"pxd010529",4
"pxd011861",2
"pxd012710",1
"pxd013658",2
"pxd015087",2
"pxd015160",1
"pxd016278",2
"pxd016662",4
"pxd017703",3
"pxd019958",1
"pxd022992",2
"pxd023325",1
"qhd43416",171
"qhr63300",14
"qlr06866",1
"qtrap5500",13
"r848",26
"regn10933",97
"rgfp109",163
"rgfp966",177
"rpmi1640",4
"rs143384",35
"rs180046",5
"rs180049",8
"rs198538",8
"rs212100",1
"rs223114",4
"rs225014",112
"rs228697",15
"rs289961",1
"rs414905",1
"rs429358",6097
"rs479482",2
"rs532436",16
"rs610913",12
"rs629301",42
"rs666561",1
"rs721638",2
"rs724577",4
"rs774939",1
"rs776746",327
"rs871269",1
"rs883541",2
"rs893260",2
"rs907091",22
"rs915539",3
"rs927214",1
"rs936226",1
"sb431542",1634
"sch77298",8
"seq00010",2
"sig39320",4
"silva138",2
"srp010970",9
"srp057027",20
"srp059928",2
"srp3061",16
"srr2075567",1
"st101",4
"st117",15
"st131",18
"st2",9
"st307",22
"st410",1
"st6",3
"st78",4
"tcc25922",1
"tmem119",8
"tr002306",78
"tr003015",2
"tr130505",27
"trmt112",3
"uacc903",23
"ucsf500",24
"vevo2100",7
"vevo3100",5
"vnmrs500",14
"wbkls0050",1
"wbluf0500",1
"wo201505",1
