charite_doi,reusing_paper_doi,publication_year,authors,publication_year_reusing,authors_reusing,doi_validity
10.1038/s41597-020-0495-6,https://proceedings.mlr.press/v259/bergamaschi25a.html,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,NA,NA,FALSE
10.1038/s41597-020-0495-6,https://www.cfaed.tu-dresden.de/files/images/people/chair-pd/papers/peax_for_codai_2024-12-19.pdf,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,NA,NA,FALSE
10.1038/s41597-020-0495-6,https://www.proquest.com/dissertations-theses/generative-artificial-intelligence-statistical/docview/3143978098/se-2,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,NA,NA,FALSE
10.1016/j.dib.2021.107320,10.1097/j.pain.0000000000003193,2021,Christian Schinke;Valeria Fernández Vallone;Andranik Ivanov;Yangfan Peng;Péter Körtvélyessy;Luca Nolte;Petra Huehnchen;Dieter Beule;Harald Stachelscheid;Wolfgang Boehmerle;Matthias Endres,2024,Pascal S.H. Smulders;Kim Heikamp;Jeroen Hermanides;Markus W. Hollmann;Werner ten Hoope;Nina C. Weber,TRUE
10.1016/j.dib.2022.108739,10.1016/j.iswa.2024.200382,2022,Lisa C. Adams;Marcus R. Makowski;Günther Engel;Maximilian Rattunde;Felix Busch;Patrick Asbach;Stefan M. Niehues;Shankeeth Vinayahalingam;Bram van Ginneken;Geert Litjens;Keno K. Bressem,2024,Kazi Shahriar Sanjid;Md. Shakib Shahariar Junayed;Md. Tanzim Hossain;Yu‐Long Wang;M. Monir Uddin;Sheikh Anisul Haque,TRUE
10.1016/j.dib.2022.108739,10.1016/j.mri.2024.03.018,2022,Lisa C. Adams;Marcus R. Makowski;Günther Engel;Maximilian Rattunde;Felix Busch;Patrick Asbach;Stefan M. Niehues;Shankeeth Vinayahalingam;Bram van Ginneken;Geert Litjens;Keno K. Bressem,2024,Ronal Coronado;Carlos Castillo‐Passi;Cecilia Besa;Pablo Irarrázaval,TRUE
10.1016/j.dib.2022.108739,10.48550/arxiv.2404.15320,2022,Lisa C. Adams;Marcus R. Makowski;Günther Engel;Maximilian Rattunde;Felix Busch;Patrick Asbach;Stefan M. Niehues;Shankeeth Vinayahalingam;Bram van Ginneken;Geert Litjens;Keno K. Bressem,2024,Joan Giner-Miguelez;Abel Gómez;Jordi Cabot,TRUE
10.1038/s41597-019-0129-z,10.1038/s41467-023-39916-1,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2023,Amy Howard;István N. Huszár;Adele Smart;Michiel Cottaar;Greg Daubney;Taylor Hanayik;Alexandre A. Khrapitchev;Rogier B. Mars;Jeroen Mollink;Connor Scott;Nicola R. Sibson;Jérôme Sallet;Saâd Jbabdi;Karla L. Miller,TRUE
10.1038/s41597-019-0129-z,10.1038/s41467-023-43971-z,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2023,Alessandra Griffa;Mathieu Mach;Julien Dedelley;Daniel Gutierrez‐Barragan;Alessandro Gozzi;Gilles Allali;Joanes Grandjean;Dimitri Van De Ville;Enrico Amico,TRUE
10.1038/s41597-019-0129-z,10.1038/s41467-024-46382-w,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2024,Andrea I. Luppi;Lynn Uhrig;Jordy Tasserie;Camilo Miguel Signorelli;Emmanuel A. Stamatakis;Alain Destexhe;Béchir Jarraya;Rodrigo Cofré,TRUE
10.1038/s41597-022-01401-7,10.11239/jsmbe.annual62.400,2022,Sook‐Lei Liew;Bethany Lo;Miranda R. Donnelly;Artemis Zavaliangos‐Petropulu;Jessica N. Jeong;Giuseppe Barisano;A. Hutton;Julia Pia Simon;Julia M. Juliano;Anisha Suri;Zhizhuo Wang;Aisha Abdullah;Jun Kim;Tyler Ard;Nerisa Banaj;Michael R. Borich;Lara A. Boyd;Amy Brodtmann;Cathrin M. Buetefisch;Lei Cao;Jessica M. Cassidy;Valentina Ciullo;Adriana Bastos Conforto;Steven C. Cramer;Rosalía Dacosta‐Aguayo;Ezequiel de la Rosa;Martin Domín;Adrienne N. Dula;Wuwei Feng;Alexandre R. Franco;Fatemeh Geranmayeh;Alexandre Gramfort;Chris M. Gregory;Colleen A. Hanlon;Brenton Hordacre;Steven A. Kautz;Mohamed Salah Khlif;Hosung Kim;Jan S. Kirschke;Jingchun Liu;Martín Lotze;Bradley J. MacIntosh;María Mataró;Feroze B. Mohamed;Jan Egil Nordvik;Gilsoon Park;Amy Pienta;Fabrizio Piras;Shane M. Redman;Kate Revill;Mauricio Reyes;Andrew D. Robertson;Na Jin Seo;Surjo R. Soekadar;Gianfranco Spalletta;Alison Sweet;Maria Teleńczuk;Gregory Thielman;Lars T. Westlye;Carolee J. Winstein;George F. Wittenberg;Kristin A. Wong;Chunshui Yu,2024,Noman Muhammad;Rashid Isam,TRUE
10.1038/s41597-019-0129-z,10.1038/s41593-023-01376-7,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2023,Isaac Sebenius;Jakob Seidlitz;Varun Warrier;Richard A. I. Bethlehem;Aaron Alexander‐Bloch;Travis T. Mallard;Rafael Romero-García;Edward T. Bullmore;Sarah E. Morgan,TRUE
10.1038/s41597-019-0129-z,10.1073/pnas.1916646117,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2020,Rabiya Noori;Daniel Park;John D. Griffiths;Sonya Bells;Paul W. Frankland;Donald Mabbott;Jérémie Lefebvre,TRUE
10.1038/s41597-019-0129-z,10.1073/pnas.2117234119,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2022,Yusi Chen;Burke Q. Rosen;Terrence J. Sejnowski,TRUE
10.1038/s41597-019-0129-z,10.3390/app14031063,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2024,Maria Sacha;Jennifer S. Goldman;Lionel Kusch;Alain Destexhe,TRUE
10.1038/s41597-019-0129-z,10.7554/elife.67600,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2021,Luqi Cheng;Yuanchao Zhang;Gang Li;Jiaojian Wang;Chet C. Sherwood;Gaolang Gong;Lingzhong Fan;Tianzi Jiang,TRUE
10.1038/s41597-019-0129-z,10.7554/elife.80627,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2022,James C. Pang;James K. Rilling;James A. Roberts;Martijn P. van den Heuvel;Luca Cocchi,TRUE
10.1038/s41597-020-0495-6,10.1088/1361-6579/ad4954,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2024,Kshama Kodthalu Shivashankara;Deepanshi;Afagh M. Shervedani;Gari D. Clifford;Matthew A. Reyna;Reza Sameni,TRUE
10.1038/s41597-019-0161-z,10.1093/g3journal/jkac315,2019,Mykola Kadobianskyi;Lisanne Schulze;Markus Schuelke;Benjamin Judkewitz,2022,Yvan Papa;Maren Wellenreuther;Mark A. Morrison;Peter A. Ritchie,TRUE
10.1038/s41597-019-0254-8,10.1002/ana.25975,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2020,Gavin J.B. Elias;Alexandre Boutet;Suresh E. Joel;Jürgen Germann;Dave Gwun;Clemens Neudorfer;Robert Gramer;Musleh Algarni;Vijayashankar Paramanandam;Sreeram Prasad;Michelle E. Beyn;Andreas Horn;Radhika Madhavan;Manish Ranjan;Christopher S. Lozano;Andrea A. Kühn;Jeff Ashe;Walter Kucharczyk;Renato P. Munhoz;Peter Giacobbe;Sidney H. Kennedy;D. Blake Woodside;Suneil K. Kalia;Alfonso Fasano;Mojgan Hodaie;Andrés M. Lozano,TRUE
10.1038/s41597-019-0254-8,10.1002/ana.26652,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2023,Julian Conrad;Bernhard Baier;Laurenz Eberle;Ria Maxine Ruehl;Rainer Boegle;Andreas Zwergal;Marianne Dieterich,TRUE
10.1038/s41597-019-0254-8,10.1007/s13311-021-01057-y,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2021,Cristina V. Torres;Gabriel González‐Escamilla;Dumitru Ciolac;Marta Navas García;Paloma Pulido;Rafael G. Sola;Antonio Barbosa;Jesús Pastor;Lorena Vega-Zelaya;Sergiu Groppa,TRUE
10.1038/s41597-019-0254-8,10.1016/j.brs.2022.08.025,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2022,Pavel Filip;Robert Jech;Anna Fečíková;Petra Havránková;Filip Růžička;Karsten Mueller;Dušan Urgošík,TRUE
10.1038/s41597-019-0254-8,10.1016/j.jdbs.2024.11.002,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Luke Andrews;Ahmad Ali;Mohammed Elmolla;Simon S. Keller;Maneesh Bhojak;Jibril Osman‐Farah;Antonella Macerollo,TRUE
10.1038/s41597-019-0254-8,10.1016/j.neuroimage.2022.119421,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2022,Yawen Wang;Minye Zhan;Alard Roebroeck;Peter De Weerd;Sriranga Kashyap;Mark Roberts,TRUE
10.1038/s41597-019-0254-8,10.1016/j.neuroimage.2023.119964,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2023,Sevil Ince;Trevor Steward;Ben J. Harrison;Alec Jamieson;Christopher G. Davey;James Agathos;Bradford A. Moffat;Rebecca Glarin;Kim L. Felmingham,TRUE
10.1038/s41597-019-0254-8,10.1016/j.nicl.2024.103709,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Florian Grimm;Michaela Walcker;Luka Milosevic;Georgios Naros;Benjamin Bender;Daniel Weiß;Alireza Gharabaghi,TRUE
10.1038/s41597-019-0254-8,10.1016/j.parkreldis.2024.107230,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Augusto Ielo;Lilla Bonanno;Costanza Brunati;Antonio Cannuli;Gianpaolo Antonio Basile;Serena Dattola;Alba Migliorato;Fabio Trimarchi;Filippo Cascio;Demetrio Milardi;Antonio Cerasa;Angelo Quartarone;Alberto Cacciola,TRUE
10.1038/s41597-019-0254-8,10.1038/s41398-021-01307-9,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2021,Philip Mosley;François Windels;John Morris;Terry Coyne;Rodney Marsh;Andrea Giorni;Adith Mohan;Perminder S. Sachdev;Emily O’Leary;Mark J. Boschen;Pankaj Sah;Peter A. Silburn,TRUE
10.1038/s41597-020-0495-6,10.48550/arxiv.2402.01801,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,2024,Xiyuan Zhang;Ranak Roy Chowdhury;Rajesh K. Gupta;Jingbo Shang,TRUE
10.1038/s41597-019-0254-8,10.1038/s41467-024-47867-4,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Irene H. Flønes;Lilah Toker;Dagny Ann Sandnes;Martina Castelli;Sepideh Mostafavi;Njål Lura;Omnia Shadad;Erika Fernández‐Vizarra;Cèlia Painous;Alexandra Pérez‐Soriano;Yaroslau Compta;Laura Molina‐Porcel;Guido Alves;Ole‐Bjørn Tysnes;Christian Dölle;Gonzalo S. Nido;Charalampos Tzoulis,TRUE
10.1038/s41597-019-0254-8,10.1038/s41531-024-00807-x,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Yichen Wang;Linbin Wang;Luis Manssuer;Yijie Zhao;Qiong Ding;Yixin Pan;Peng Huang;Dianyou Li;Valerie Voon,TRUE
10.1038/s41597-019-0254-8,10.1038/s41593-024-01570-1,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Barbara Hollunder;Jill L. Ostrem;Ilkem Aysu Sahin;Nanditha Rajamani;Simón Oxenford;Konstantin Butenko;Clemens Neudorfer;Pablo Reinhardt;Patricia Zvarova;Mircea Polosan;Harith Akram;Matteo Vissani;Chencheng Zhang;Bomin Sun;P Navrátil;Martin M. Reich;Jens Volkmann;Fang‐Cheng Yeh;Juan Carlos Baldermann;Till A. Dembek;Veerle Visser‐Vandewalle;Eduardo Joaquim Lopes Alho;Paulo Roberto Franceschini;Pranav Nanda;Carsten Finke;Andrea A. Kühn;Darin D. Dougherty;R. Mark Richardson;Hagai Bergman;Mahlon R. DeLong;Alberto Mazzoni;Luigi Romito;Himanshu Tyagi;Ludvic Zrinzo;Eileen M. Joyce;Stéphan Chabardès;Philip A. Starr;Ningfei Li;Andreas Horn,TRUE
10.1038/s41597-019-0254-8,10.1038/s41746-024-01253-y,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Enrico Ferrea;Farzin Negahbani;Idil Cebi;Daniel Weiß;Alireza Gharabaghi,TRUE
10.1038/s41597-019-0254-8,10.1038/s44220-023-00128-7,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2023,Jacob L. Stubbs;Joseph J. Taylor;Shan Siddiqi;Frédéric Schaper;Alexander L. Cohen;William Drew;Colleen A. Hanlon;Amir Abdolahi;Henry Z. Wang;William G. Honer;William J. Panenka;Michael Fox,TRUE
10.1038/s41597-019-0254-8,10.1038/s44220-023-00128-7,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2023,Jacob L. Stubbs;Joseph J. Taylor;Shan Siddiqi;Frédéric Schaper;Alexander L. Cohen;William Drew;Colleen A. Hanlon;Amir Abdolahi;Henry Z. Wang;William G. Honer;William J. Panenka;Michael Fox,TRUE
10.1038/s41597-019-0254-8,10.1073/pnas.2114985119,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2022,Andreas Horn;Martin M. Reich;Siobhán Ewert;Ningfei Li;Bassam Al‐Fatly;Florian Lange;Jonas Roothans;Simón Oxenford;Isabel Horn;Steffen Paschen;Joachim Runge;Fritz Wodarg;Karsten Witt;Robert Nickl;Matthias Wittstock;Gerd‐Helge Schneider;Philipp Mahlknecht;Werner Poewe;Wilhelm Eisner;Ann‐Kristin Helmers;Cordula Matthies;Joachim K. Krauss;Günther Deuschl;Jens Volkmann;Andrea A. Kühn,TRUE
10.1038/s41597-019-0254-8,10.1093/brain/awaa148,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2020,Philip Mosley;Saee Paliwal;Katherine Robinson;Terry Coyne;Peter A. Silburn;Marc Tittgemeyer;Klaas Ε. Stephan;Alistair Perry;Michael Breakspear,TRUE
10.1038/s41597-019-0254-8,10.1093/cercor/bhab487,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2021,Ben J. Harrison;Christopher G. Davey;Hannah S. Savage;Alec Jamieson;Christine A. Leonards;Bradford A. Moffat;Rebecca Glarin;Trevor Steward,TRUE
10.1038/s41597-019-0254-8,10.1093/cercor/bhab500,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2021,Daniel Bullock;Elena A. Hayday;Mark D. Grier;Wei Tang;Franco Pestilli;Sarah R. Heilbronner,TRUE
10.1038/s41597-019-0254-8,10.1126/sciadv.abj7892,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2022,Anneke Alkemade;Pierre‐Louis Bazin;Rawien Balesar;Kerrin Pine;Evgeniya Kirilina;Harald E. Möller;Robert Trampel;Johan M. Kros;Max C. Keuken;Ronald L. A. W. Bleys;Dick F. Swaab;Andreas Herrler;Nikolaus Weiskopf;Birte U. Forstmann,TRUE
10.1038/s41597-019-0254-8,10.1126/sciadv.adr9891,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Rafael Rodríguez‐Rojas;Jorge U Máñez-Miró;José A. Pineda‐Pardo;Marta del Álamo;Raúl Martínez‐Fernández;José Á. Obeso,TRUE
10.1038/s41597-019-0254-8,10.1162/imag_a_00327,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Adam Coates;David Linhardt;Christian Windischberger;Anja Ischebeck;Natalia Zaretskaya,TRUE
10.1038/s41597-019-0254-8,10.21203/rs.3.rs-3476665/v1,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2023,Bryan A. Strange;Svenja Treu;Juan A. Barcia;Cristina V. Torres;Javier J. González-Rosa;Cristina Nombela;José Pineda;Daniel Torres;Lukas Kunz;Robin Hellerstedt;Josué M. Avecillas-Chasín;Mónica Lara;Marta Navas;Ana Galarza;J. Gómez García;Antonio Oliviero;F. Seijo;Andreas Horn;Ningfei Li;Nikolai Axmacher;Santiago Canals;Blanca Reneses;Anne Bierbrauer,TRUE
10.1038/s41597-019-0254-8,10.3233/jpd-230181,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Daniel Kroneberg;Bassam Al‐Fatly;Cornelia Morkos;Leon A Steiner;Gerd‐Helge Schneider;Andrea A. Kühn,TRUE
10.1038/s41597-019-0254-8,10.3389/fneur.2021.785529,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2021,Florian Lange;Frank Steigerwald;Tobias Malzacher;Gregor A. Brandt;Thorsten Odorfer;Jonas Roothans;Martin M. Reich;Patrick Fricke;Jens Volkmann;Cordula Matthies;Philipp Capetian,TRUE
