"referenceid";"username";"form_version";"doi";"article";"is_open_data";"open_data_category";"is_reuse";"is_open_code";"das";"open_data_statements";"cas";"open_code_statements";"reference_to_data";"comment_1_reference";"comments_vladi";"data_availability_statement";"comment_2_das";"findability";"comment_4_findability";"not_a_supplement";"comment_3_repository";"data_identifier";"comment_identifier";"repository";"data_access";"comment_5_data_access";"restricted_authorship";"comment_restricted_authorship";"year_of_data_publication";"open_text_1";"dataset_license";"comment_4_license";"license_name";"own_or_reuse_data";"comment_2_own_data";"machine_readable_format";"comment_6_machine_readability";"multi_select_excel";"multi_select_csv_tsv";"multi_select_txt_docs";"multi_select_other_text_formats";"multi_select_video";"multi_select_audio";"multi_select_picture";"multi_select_fasta_fastq";"multi_select_raw";"multi_select_generic_format";"multi_select_subject_specific_format";"multi_select_unsure";"comment_7_format";"illustrative_files";"comment_8_illustrative_files";"analytical_replication";"comment_9_analytical_replication";"open_data_assessment";"comment_10_assessment";"other_comments";"comment_other_datasets";"multi_select_genetic_sequences"
298;"Blanka99";"Openness 2024";"10.1162/imag_a_00028";"10.1162+imag_a_00028.txt";TRUE;"general-purpose repository";FALSE;FALSE;"<section> data and code availability the dataset analyzed for this study as well as the analysis code and materials are openly available at the open science framework (https://osf.­io/­ktjnw). this study was not preregistered.";"<section> data and code availability the dataset analyzed for this study as well as the analysis code and materials are openly available at the open science framework (https://osf.­io/­ktjnw).;     <section> data and code availability <section> the dataset analyzed for this study as well as the analysis code and materials are openly available at the open science framework (https://osf.­io/­ktjnw).";"<section> data and code availability the dataset analyzed for this study as well as the analysis code and materials are openly available at the open science framework (https://osf.­io/­ktjnw). this study was not preregistered.";"NULL";"yes";"NULL";"NULL";"yes";"NULL";"yes";"NULL";"yes";"NULL";"10.17605/OSF.IO/KTJNW";"NULL";"Open Science Framework (OSF)";"yes";"NULL";"NULL";"NULL";"2023";"NULL";"yes";"NULL";"CC BY";"own_open_data";"NULL";"yes";"NULL";"1";"NULL";"1";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"1";"1";"NULL";"nii, mat, hdr, img, exp, pcl, sce, conf";"NULL";"NULL";"yes";"NULL";"open_data";"NULL";"NULL";"NULL";NA
339;"Blanka99";"Openness 2024";"10.1210/clinem/dgad365";"10.1210+clinem+dgad365.txt";TRUE;"upon request, general-purpose repository";FALSE;FALSE;"<section> data availability some or all datasets generated during and/or analyzed during the current study are not publicly available but are available from the corresponding author on reasonable request.";"<section> supplementary materials are available at: https://doi.org/10. 6084/m9.figshare.22666633.";"NULL";"NULL";"yes";"NULL";"NULL";"yes";"NULL";"yes";"NULL";"yes";"NULL";"https://doi.org/10.6084/m9.figshare.22666633";"NULL";"figshare";"yes";"NULL";"NULL";"NULL";"2023";"NULL";"yes";"NULL";"CC BY";"own_open_data";"NULL";"no";"pdf and just supplements, no data - vailable from the corresponding author on reasonable request";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"NULL";"NULL";"NULL";NA
311;"Blanka99";"Openness 2024";"10.1186/s12864-023-09830-3";"10.1186+s12864-023-09830-3.txt";TRUE;"field-specific repository";FALSE;TRUE;"<section> data availability all code and scripts including all trained models are available in the gitlab repository: https://git-ext.charite.de/sebastian.proft/grhl1-binding. the motif ma0647.1 taken from jaspar 2022 is available at: https://jaspar.genereg.net/ matrix/ma0647.1/. ht-selex data used for training validation and testing can be found in the european nucleotide archive (ena) under the project number prjeb3289 sra file err194761 [5]: https://www.ebi.ac.uk/ena/browser/view/ prjeb3289. grhl1 chip-seq data can be found under the geo accession number gsm4156315 and sra accession number srx7122002 [38]. myod chip-seq data can be found under the geo accession number gsm1218849 and sra accession number srx341010 [39].";"ht-selex data used for training validation and testing can be found in the european nucleotide archive (ena) under the project number prjeb3289 sra file err194761 [5]: https://www.ebi.ac.uk/ena/browser/view/ prjeb3289.;     grhl1 chip-seq data can be found under the geo accession number gsm4156315 and sra accession number srx7122002 [38].;     myod chip-seq data can be found under the geo accession number gsm1218849 and sra accession number srx341010 [39].";"NULL";"<section> data availability all code and scripts including all trained models are available in the gitlab repository: https://git-ext.charite.de/sebastian.proft/grhl1-binding.";"yes";"NULL";"NULL";"yes";"NULL";"reuse_findability";"NULL";"reuse_repo";"NULL";"https://jaspar.elixir.no/matrix/MA0647.1/";"NULL";"JASPAR";"reuse_access";"NULL";"NULL";"NULL";"2013";"NULL";"reuse_licence";"NULL";"NULL";"open_data_reuse";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";NA
311;"Blanka99";"Openness 2024";"10.1186/s12864-023-09830-3";"10.1186+s12864-023-09830-3.txt";TRUE;"field-specific repository";FALSE;TRUE;"<section> data availability all code and scripts including all trained models are available in the gitlab repository: https://git-ext.charite.de/sebastian.proft/grhl1-binding. the motif ma0647.1 taken from jaspar 2022 is available at: https://jaspar.genereg.net/ matrix/ma0647.1/. ht-selex data used for training validation and testing can be found in the european nucleotide archive (ena) under the project number prjeb3289 sra file err194761 [5]: https://www.ebi.ac.uk/ena/browser/view/ prjeb3289. grhl1 chip-seq data can be found under the geo accession number gsm4156315 and sra accession number srx7122002 [38]. myod chip-seq data can be found under the geo accession number gsm1218849 and sra accession number srx341010 [39].";"ht-selex data used for training validation and testing can be found in the european nucleotide archive (ena) under the project number prjeb3289 sra file err194761 [5]: https://www.ebi.ac.uk/ena/browser/view/ prjeb3289.;     grhl1 chip-seq data can be found under the geo accession number gsm4156315 and sra accession number srx7122002 [38].;     myod chip-seq data can be found under the geo accession number gsm1218849 and sra accession number srx341010 [39].";"NULL";"<section> data availability all code and scripts including all trained models are available in the gitlab repository: https://git-ext.charite.de/sebastian.proft/grhl1-binding.";"yes";"NULL";"NULL";"yes";"NULL";"reuse_findability";"NULL";"reuse_repo";"NULL";"https://www.ebi.ac.uk/ena/browser/view/PRJEB3289";"NULL";"EBI European Nucleotide Archive";"reuse_access";"NULL";"NULL";"NULL";"2016";"NULL";"reuse_licence";"NULL";"NULL";"open_data_reuse";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";NA
311;"Blanka99";"Openness 2024";"10.1186/s12864-023-09830-3";"10.1186+s12864-023-09830-3.txt";TRUE;"field-specific repository";FALSE;TRUE;"<section> data availability all code and scripts including all trained models are available in the gitlab repository: https://git-ext.charite.de/sebastian.proft/grhl1-binding. the motif ma0647.1 taken from jaspar 2022 is available at: https://jaspar.genereg.net/ matrix/ma0647.1/. ht-selex data used for training validation and testing can be found in the european nucleotide archive (ena) under the project number prjeb3289 sra file err194761 [5]: https://www.ebi.ac.uk/ena/browser/view/ prjeb3289. grhl1 chip-seq data can be found under the geo accession number gsm4156315 and sra accession number srx7122002 [38]. myod chip-seq data can be found under the geo accession number gsm1218849 and sra accession number srx341010 [39].";"ht-selex data used for training validation and testing can be found in the european nucleotide archive (ena) under the project number prjeb3289 sra file err194761 [5]: https://www.ebi.ac.uk/ena/browser/view/ prjeb3289.;     grhl1 chip-seq data can be found under the geo accession number gsm4156315 and sra accession number srx7122002 [38].;     myod chip-seq data can be found under the geo accession number gsm1218849 and sra accession number srx341010 [39].";"NULL";"<section> data availability all code and scripts including all trained models are available in the gitlab repository: https://git-ext.charite.de/sebastian.proft/grhl1-binding.";"yes";"NULL";"NULL";"yes";"NULL";"reuse_findability";"NULL";"reuse_repo";"NULL";"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4156315";"NULL";"NCBI Gene Expression Omnibus (GEO)";"reuse_access";"NULL";"NULL";"NULL";"2019";"NULL";"reuse_licence";"NULL";"NULL";"open_data_reuse";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"some code and models in GitLab";"NULL";NA
486;"Blanka99";"Openness 2024";"10.1016/j.ejca.2022.09.024";"10.1016+j.ejca.2022.09.024.txt";FALSE;"upon request, re-use";TRUE;FALSE;"<section> data sharing qualified researchers may request access to individual patient-level data through the clinical study data request platform: https://vivli.org/. further details of roche’s criteria for eligible studies are available here: https://vivli. org/members/ourmembers/. for further details on roche’s global policy on the sharing of clinical information and how to request access to related clinical study documents see here: https://www.roche.com/ research_and_development/who_we_are_how_we_work/ clinical_trials/our_commitment_to_data_sharing.htm.";"clinical practice for the european database of suspected adverse drug reaction reports and the fda ae reporting system it was assumed that p h and ph fdc sc were used in line with prescribing information [78] and international guidelines [1e48].";"NULL";"NULL";"yes";"NULL";"NULL";"yes";"NULL";"yes";"NULL";"yes";"NULL";"https://vivli.org/";"NULL";"Vivli";"pharma_data";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";NA
426;"Blanka99";"Openness 2024";"10.7554/elife.84029";"10.7554+elife.84029.txt";TRUE;"field-specific repository";FALSE;TRUE;"<section> data availability custom software is available at https://github.com/agplested/saft (copy archived swh:1:rev:c3f5615648978f9fdc82237c443ed29eadb2fc15).";"the following plasmids are deposited at addgene: snfr-­gamma2 (addgene id: 165495) snfr-­gamma8 (165496) paav-­syn-­snfr-­gamma2-­minwpre (165497) and paav-­syn-­snfr-­gamma8-­minwpre (165498).";"NULL";"<section> for short-­term plasticity analysis we designed a program written in python saft (repository at https://github.com/agplested/saft; copy archived at swh:1:rev:c3f5615648978f9fdc82237c443ed29eadb2fc15; plested 2023).;     <section> custom software is available at https://github.com/agplested/saft (copy archived swh:1:rev:c3f5615648978f9fdc82237c443ed29eadb2fc15).";"yes";"NULL";"NULL";"yes";"NULL";"yes";"NULL";"yes";"NULL";"10.5281/zenodo.7512560";"NULL";"Zenodo";"yes";"NULL";"NULL";"NULL";"NULL";"NULL";"yes";"NULL";"CC BY";"own_open_data";"NULL";"yes";"NULL";"1";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"1";"1";"NULL";"tif, roi";"NULL";"NULL";"yes";"NULL";"open_data";"NULL";"NULL";"NULL";NA
524;"Blanka99";"Openness 2024";"10.1038/s41398-023-02705-x";"10.1038+s41398-023-02705-x.txt";FALSE;"upon request, re-use";TRUE;FALSE;"<section> data availability gwas summary statistics used for neuroticism [51] are publicly available (https:// ctg.cncr.nl/software/summary_statistics) and gwas summary statistics for loneliness [11] can be downloaded from https://doi.org/10.17863/cam.23511. the datasets presented in this article are not readily available because according to european law (gdpr) data containing potentially identifying or sensitive patient information are restricted; our data involving clinical participants are not freely available in the article supplementary material or in a public respiratory. access to data can be requested on reasonable demand via the corresponding author.";"the ?rst previously published sample (witt2017-sample) consisted of bpd patients and 1545 hcs [12].";"<section> code availability access to code can be requested on reasonable demand via the corresponding author.";"NULL";"yes";"NULL";"NULL";"yes";"NULL";"reuse_findability";"NULL";"reuse_repo";"NULL";"https://cncr.nl/research/summary_statistics/";"NULL";"Center for";"reuse_access";"NULL";"NULL";"NULL";"2018";"NULL";"reuse_licence";"NULL";"NULL";"open_data_reuse";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";NA
524;"Blanka99";"Openness 2024";"10.1038/s41398-023-02705-x";"10.1038+s41398-023-02705-x.txt";FALSE;"upon request, re-use";TRUE;FALSE;"<section> data availability gwas summary statistics used for neuroticism [51] are publicly available (https:// ctg.cncr.nl/software/summary_statistics) and gwas summary statistics for loneliness [11] can be downloaded from https://doi.org/10.17863/cam.23511. the datasets presented in this article are not readily available because according to european law (gdpr) data containing potentially identifying or sensitive patient information are restricted; our data involving clinical participants are not freely available in the article supplementary material or in a public respiratory. access to data can be requested on reasonable demand via the corresponding author.";"the ?rst previously published sample (witt2017-sample) consisted of bpd patients and 1545 hcs [12].";"<section> code availability access to code can be requested on reasonable demand via the corresponding author.";"NULL";"yes";"NULL";"NULL";"yes";"NULL";"reuse_findability";"NULL";"reuse_repo";"NULL";"https://doi.org/10.17863/CAM.23511";"NULL";"Apollo University of Cambridge";"reuse_access";"NULL";"NULL";"NULL";"2018";"NULL";"reuse_licence";"NULL";"NULL";"open_data_reuse";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"Access to data can be requested on reasonable demand via the corresponding author";"NULL";NA
683;"Blanka99";"Openness 2024";"10.3390/jcm12113778";"10.3390+jcm12113778.txt";FALSE;"upon request, re-use";TRUE;FALSE;"<section> data availability statement: the data that support the findings of this study are available on request from the corresponding author (h.c.b.). the data are not publicly available due to the sensitivity of human data which could compromise the research participant privacy/consent.";"all questionnaires were programmed and implemented using sosci survey [36] and were made available at www.soscisurvey.com.";"NULL";"NULL";"yes";"NULL";"NULL";"yes";"NULL";"no";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"on request from the corresponding author";"NULL";"NULL";NA
379;"Blanka99";"Openness 2024";"10.3389/fimmu.2023.1163198";"10.3389+fimmu.2023.1163198.txt";TRUE;"field-specific repository";FALSE;FALSE;"<section> data availability statement the datasets presented in this study can be found in online repositories. the names of the repository/repositories and accession number(s) can be found below: https://www.ebi.ac.uk/biostudies/ arrayexpress/: e-mtab-6476 e-mtab-12788.";"the names of the repository/repositories and accession number(s) can be found below: https://www.ebi.ac.uk/biostudies/ arrayexpress/: e-mtab-6476 e-mtab-12788.";"NULL";"NULL";"yes";"NULL";"NULL";"yes";"NULL";"yes";"NULL";"yes";"NULL";"https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-6476?query=E-MTAB-6476";"NULL";"EBI BioStudies";"yes";"NULL";"NULL";"NULL";"2022";"NULL";"no";"NULL";"NULL";"own_open_data";"NULL";"yes";"NULL";"NULL";"NULL";"1";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"yes";"NULL";"open_data";"NULL";"NULL";"NULL";NA
379;"Blanka99";"Openness 2024";"10.3389/fimmu.2023.1163198";"10.3389+fimmu.2023.1163198.txt";TRUE;"field-specific repository";FALSE;FALSE;"<section> data availability statement the datasets presented in this study can be found in online repositories. the names of the repository/repositories and accession number(s) can be found below: https://www.ebi.ac.uk/biostudies/ arrayexpress/: e-mtab-6476 e-mtab-12788.";"the names of the repository/repositories and accession number(s) can be found below: https://www.ebi.ac.uk/biostudies/ arrayexpress/: e-mtab-6476 e-mtab-12788.";"NULL";"NULL";"yes";"NULL";"NULL";"yes";"NULL";"yes";"NULL";"yes";"NULL";"https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-12788?query=E-MTAB-12788";"NULL";"EBI BioStudies";"yes";"NULL";"NULL";"NULL";"2023";"NULL";"no";"NULL";"NULL";"own_open_data";"NULL";"yes";"NULL";"NULL";"NULL";"1";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"yes";"NULL";"open_data";"NULL";"NULL";"NULL";NA
713;"Blanka99";"Openness 2024";"10.1016/j.schres.2023.11.010";"10.1016+j.schres.2023.11.010.txt";FALSE;"unknown url";FALSE;FALSE;"<section> data availability vigibase does not allow the distribution of their file.";"data available until december 31 2022. https://info.mhra.gov.uk/drug-analysis-profiles/dap.html?";"NULL";"NULL";"yes";"NULL";"NULL";"yes";"NULL";"reuse_findability";"In DAS - VigiBase does not allow the distribution of their file in article - description of criteria of the data they used";"reuse_repo";"NULL";"https://who-umc.org/vigibase/vigibase-services/";"NULL";"VigiBase";"reuse_access";"NULL";"NULL";"NULL";"2022";"NULL";"reuse_licence";"NULL";"NULL";"open_data_reuse";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";NA
433;"Blanka99";"Openness 2024";"10.7554/elife.88367";"10.7554+elife.88367.txt";TRUE;"general-purpose repository";FALSE;TRUE;"<section> data availability the data was collected at the life leipzig research center for diseases of civilization https:// www.uniklinikum-leipzig.de/einrichtungen/life/life-forschungszentrum. for data protection reasons access to the actual study data is only possible via a project agreement https://www.uniklinikum- leipzig.de/einrichtungen/life/life-forschungszentrum/life-datenportal. the application will checked and activated by the life research center task force. commercial use of the data is not permitted. the operating instructions are provided to get started with the life data portal https:// www.uniklinikum-leipzig.de/einrichtungen/life/freigegebene%20dokumente/projektvereinbar ungen/anleitung%20datenportal_12062023.pdf. the anonymized peak amplitudes of both p300 and alpha amplitude envelope standard stimulus erp and alpha amplitude envelope and precomputed bsis are available here https://osf.io/ak5de/. code for pre-­processing and analysis is available at https://github.com/astudenova/p300_alpha (copy archived at studenova 2023). in addition two simulated subjects similar to those in the dataset are available to provide the possibility running the code and obtaining figures. the simulated subjects can be found here https://osf.io/ ak5de/.";"the anonymized peak amplitudes of both p300 and alpha amplitude envelope standard stimulus erp and alpha amplitude envelope and precomputed bsis are available here https://osf.io/ak5de/.;     the simulated subjects can be found here https://osf.io/ ak5de/.";"NULL";"code for pre-­processing and analysis is available at https://github.com/astudenova/p300_alpha (copy archived at studenova 2023).";"yes";"NULL";"NULL";"yes";"NULL";"yes";"NULL";"yes";"NULL";"https://www.uniklinikum-leipzig.de/einrichtungen/life/life-forschungszentrum/life-datenportal";"NULL";"LIFE Datenportal";"restricted";"NULL";"own_restricted";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";NA
433;"Blanka99";"Openness 2024";"10.7554/elife.88367";"10.7554+elife.88367.txt";TRUE;"general-purpose repository";FALSE;TRUE;"<section> data availability the data was collected at the life leipzig research center for diseases of civilization https:// www.uniklinikum-leipzig.de/einrichtungen/life/life-forschungszentrum. for data protection reasons access to the actual study data is only possible via a project agreement https://www.uniklinikum- leipzig.de/einrichtungen/life/life-forschungszentrum/life-datenportal. the application will checked and activated by the life research center task force. commercial use of the data is not permitted. the operating instructions are provided to get started with the life data portal https:// www.uniklinikum-leipzig.de/einrichtungen/life/freigegebene%20dokumente/projektvereinbar ungen/anleitung%20datenportal_12062023.pdf. the anonymized peak amplitudes of both p300 and alpha amplitude envelope standard stimulus erp and alpha amplitude envelope and precomputed bsis are available here https://osf.io/ak5de/. code for pre-­processing and analysis is available at https://github.com/astudenova/p300_alpha (copy archived at studenova 2023). in addition two simulated subjects similar to those in the dataset are available to provide the possibility running the code and obtaining figures. the simulated subjects can be found here https://osf.io/ ak5de/.";"the anonymized peak amplitudes of both p300 and alpha amplitude envelope standard stimulus erp and alpha amplitude envelope and precomputed bsis are available here https://osf.io/ak5de/.;     the simulated subjects can be found here https://osf.io/ ak5de/.";"NULL";"code for pre-­processing and analysis is available at https://github.com/astudenova/p300_alpha (copy archived at studenova 2023).";"yes";"NULL";"NULL";"yes";"NULL";"yes";"NULL";"yes";"NULL";"10.17605/OSF.IO/AK5DE";"NULL";"Open Science Framework (OSF)";"yes";"NULL";"NULL";"NULL";"2023";"NULL";"yes";"NULL";"GNU";"own_open_data";"NULL";"yes";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"1";"1";"NULL";"json, dat, vhdr, vmrk, fdt, set";"NULL";"NULL";"yes";"NULL";"open_data";"NULL";"NULL";"NULL";NA
178;"Blanka99";"Openness 2024";"10.1038/s41588-023-01561-1";"10.1038+s41588-023-01561-1.txt";TRUE;"field-specific repository, re-use, upon request";TRUE;TRUE;"<section> data availability raw longitudinal wgs data from nine samples derived from five patients and collected before 2015 are available in dbgap (phs003398. v1.p1). this irb-approved study included a waiver of the requirement for informed consent. per nih policy samples obtained after january 2015 cannot be uploaded to dbgap without specific patient consent to do so. to access data from samples obtained after january 2015 investigators may contact the corresponding authors (u.b. or j.w.) and/or submit a request to the columbia university sponsored projects administration via this form (https://cumc.co1.qualtrics.com/ jfe/form/sv_29rqfam9dh4xx6z) to obtain a data use agreement between columbia university and the requesting institution. following irb approval of data sharing with each requesting institution the data will be transferred electronically. raw wgs data and rna-seq data from 39 primary dlbcl cases and 11 dlbcl cell lines were downloaded from dbgap—phs000235.v20.p6 and sequence read archive (sra)—prjna523380. hic data of gm12878 was downloaded from 4dn data portal (https://data.4dnucleome.org/) under accession 4dnes3jx38v5. 4c-seq data was deposited in the gene expression omnibus database with accession gse210888. raw wgs data and rna-seq data from 29 dlbcl cell lines were downloaded from dbgap—phs000328.v3.p1 sra—prjna854968 and prjna523380. proteomics data of sudhl10 have been provided as source data in this paper. source data are provided with this paper.";"<section> data availability raw longitudinal wgs data from nine samples derived from five patients and collected before 2015 are available in dbgap (phs003398.     source data provided in supplementary table 5 raw wgs data and rna-seq data from 39 primary dlbcl cases and 11 dlbcl cell lines were downloaded from dbgap—phs000235.v20.p6 and sequence read archive (sra)—prjna523380.;     4c-seq data was deposited in the gene expression omnibus database with accession gse210888.;     raw wgs data and rna-seq data from 29 dlbcl cell lines were downloaded from dbgap—phs000328.v3.p1 sra—prjna854968 and prjna523380.";"<section> code availability all code developed for this study is available at https://github.com/ forcefield17/watchdhl.";"<section> code availability all code developed for this study is available at https://github.com/ forcefield17/watchdhl.";"yes";"NULL";"NULL";"yes";"NULL";"yes";"NULL";"yes";"NULL";"https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003398.v1.p1";"NULL";"database of Genotypes and Phenotypes (dbGaP)";"restricted";"NULL";"own_restricted";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";NA
178;"Blanka99";"Openness 2024";"10.1038/s41588-023-01561-1";"10.1038+s41588-023-01561-1.txt";TRUE;"field-specific repository, re-use, upon request";TRUE;TRUE;"<section> data availability raw longitudinal wgs data from nine samples derived from five patients and collected before 2015 are available in dbgap (phs003398. v1.p1). this irb-approved study included a waiver of the requirement for informed consent. per nih policy samples obtained after january 2015 cannot be uploaded to dbgap without specific patient consent to do so. to access data from samples obtained after january 2015 investigators may contact the corresponding authors (u.b. or j.w.) and/or submit a request to the columbia university sponsored projects administration via this form (https://cumc.co1.qualtrics.com/ jfe/form/sv_29rqfam9dh4xx6z) to obtain a data use agreement between columbia university and the requesting institution. following irb approval of data sharing with each requesting institution the data will be transferred electronically. raw wgs data and rna-seq data from 39 primary dlbcl cases and 11 dlbcl cell lines were downloaded from dbgap—phs000235.v20.p6 and sequence read archive (sra)—prjna523380. hic data of gm12878 was downloaded from 4dn data portal (https://data.4dnucleome.org/) under accession 4dnes3jx38v5. 4c-seq data was deposited in the gene expression omnibus database with accession gse210888. raw wgs data and rna-seq data from 29 dlbcl cell lines were downloaded from dbgap—phs000328.v3.p1 sra—prjna854968 and prjna523380. proteomics data of sudhl10 have been provided as source data in this paper. source data are provided with this paper.";"<section> data availability raw longitudinal wgs data from nine samples derived from five patients and collected before 2015 are available in dbgap (phs003398.     source data provided in supplementary table 5 raw wgs data and rna-seq data from 39 primary dlbcl cases and 11 dlbcl cell lines were downloaded from dbgap—phs000235.v20.p6 and sequence read archive (sra)—prjna523380.;     4c-seq data was deposited in the gene expression omnibus database with accession gse210888.;     raw wgs data and rna-seq data from 29 dlbcl cell lines were downloaded from dbgap—phs000328.v3.p1 sra—prjna854968 and prjna523380.";"<section> code availability all code developed for this study is available at https://github.com/ forcefield17/watchdhl.";"<section> code availability all code developed for this study is available at https://github.com/ forcefield17/watchdhl.";"yes";"NULL";"NULL";"yes";"NULL";"yes";"NULL";"no";"request from authors or: https://cumc.co1.qualtrics.com/jfe/form/SV_29rqFAm9Dh4xX6Z";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"NULL";"NULL";"NULL";NA
