charite_doi;identifier_from_data_article_analysis;Numbat_data_identifier;listed_in_numbat_output;changed_ODDPub_result;limitation_manual_process;potentially_not_od;Comments;repository;year.of.dataset.publication;license;open.or.restricted;covid.related..1...yes..0...no.;human.data..1...yes..0...no.;comments.Evgeny...reasons..why.it.might.not.be.in.Numbat
10.1038/s41597-020-0495-6;https://physionet.org/content/ptb-xl/1.0.3/;https://physionet.org/content/ptb-xl/1.0.1/;TRUE;NA;NA;NA;different version is documented in Numbat: 1.0.1. correct string match(?);PhysioNet;2020;CC-BY;open;0;1;NA
10.1016/j.dib.2021.107011;10.17632/fzcmhhjs76.3;http://dx.doi.org/10.17632/fzcmhhjs76.3;TRUE;NA;NA;NA;is in master file;Mendeley;2020;CC-BY;open;0;1;NA
10.1016/j.dib.2021.107320;gse173610;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse173610;TRUE;NA;NA;NA;is in master file;Gene Expression Omnibus;2021;none;open;0;1;NA
10.1016/j.dib.2021.107604;10.17632/mtd59df24s.2;http://doi.org/10.17632/mtd59df24s.2;TRUE;NA;NA;NA;is in master file;Mendeley;2020;CC-BY;open;1;1;NA
10.1038/s41597-021-00913-y;https://doi.org/10.6084/m9.figshare.c.5222051;https://doi.org/10.6084/m9.figshare.13298012.v1;FALSE;FALSE;TRUE;FALSE;a metadata file is documented in Numbat instead of actual data. it could have been documented better...;Figshare;2021;CC-BY;open;0;0;NA
10.1016/j.dib.2022.108347;10.17632/wrhr5862cb.1;https://doi.org/10.17632/wrhr5862cb.4;TRUE;NA;NA;NA;different version documented in Numbat: https://doi.org/10.17632/wrhr5862cb.4. string/version match correction (?);Mendeley;2022;CC-BY;open;0;1;NA
10.1016/j.dib.2022.108399;10.17605/osf.io/d34y5;https://osf.io/d34y5/;TRUE;NA;NA;NA;it is recommended in our procedure to add DOI if available, but it can be missed sometimes, e.g. for repos like OSF with optional DOIs. but can it be matched without 10.17605/ part, isn't it?;OSF;2021;CC-BY;open;0;1;NA
10.1016/j.dib.2022.108542;https://github.com/emilywavery/radiomics-data-sharing;https://doi.org/10.5281/zenodo.6640670;FALSE;FALSE;FALSE;TRUE;GitHub does not count in our procedure to a reliable repo, so it is not an OD case. other case is however documented as OD.;GitHub;2022;AGPL-3.0 license;open;0;1;Github does not count as open data
10.1016/j.dib.2022.108649;10.17632/vfpxcbk5bx.4;https://data.mendeley.com/datasets/vfpxcbk5bx;TRUE;NA;NA;NA;in master file: https://data.mendeley.com/datasets/vfpxcbk5bx;Mendeley;2022;CC-BY;open;0;1;NA
10.1016/j.dib.2022.108739;10.5281/zenodo.6481140;https://doi.org/10.5281/zenodo.6481141;TRUE;FALSE;TRUE;FALSE;a Zenodo issue - different DOI is documented in Numbat than in DCC: should the version leading to the dataset be documented or the all versions DOI? Maybe there is an automated way to extract and store all DOI versions for the same dataset, so one of them will be matched.;Zenodo;2022;none;open;0;1;NA
10.1038/s41597-022-01401-7;10.3886/icpsr36684.v4;NULL;FALSE;FALSE;TRUE;FALSE;NA;ICPSR;2017;bespoke data use agreement;restricted;0;1;NA
10.1038/s41597-022-01401-7;https://github.com/npnl/atlas/;NULL;FALSE;FALSE;FALSE;TRUE;NA;GitHub;2021;none;open;0;1;NA
10.1038/s41597-022-01532-x;10.6019/chembl4495565;https://doi.org/10.6019/CHEMBL4495565;TRUE;NA;NA;NA;is in master file;ChEMBL;undetermined;none;open;1;1;NA
10.1038/s41597-022-01532-x;https://doi.org/10.6084/m9.figshare.19316219.v1;https://doi.org/10.6084/m9.figshare.19298807.v2;FALSE;FALSE;TRUE;FALSE;1 dataset per 1 repo - a requirement for efficient OD-LOM screening;Figshare;2022;CC-BY;open;1;1;another figshare dataset listed in Numbat
10.1038/s41597-022-01532-x;https://doi.org/10.6084/m9.figshare.19298807.v2;https://doi.org/10.6084/m9.figshare.19298807.v2;TRUE;NA;NA;NA;1 dataset per 1 repo - a requirement for efficient OD-LOM screening;Figshare;2022;CC-BY;open;1;1;NA
10.1038/s41597-022-01532-x;https://doi.org/10.6084/m9.figshare.19255067.v3;https://doi.org/10.6084/m9.figshare.19298807.v2;FALSE;FALSE;TRUE;FALSE;1 dataset per 1 repo - a requirement for efficient OD-LOM screening;Figshare;2022;CC-BY;open;1;1;another figshare dataset listed in Numbat
10.1038/s41597-022-01669-9;https://napkon.de/;https://doi.org/10.5281/zenodo.6576177;FALSE;FALSE;FALSE;TRUE;it is actually in Numbat, but as it is not a repo but just a website, it was excluded in findability criteria.;NAPKON;no dataset to be downloaded;n/a;restricted;1;1;NA
10.1038/s41597-022-01669-9;10.5281/zenodo.6576176;https://doi.org/10.5281/zenodo.6576177;TRUE;FALSE;TRUE;FALSE;a diffferent zenodo dataset documented for this article - again 1 dataset per 1 repo;Zenodo;2022;CC-BY;open;1;1;NA
10.1038/s41597-022-01806-4;https://openneuro.org/datasets/ds001226;https://doi.org/10.18112/openneuro.ds001226.v5.0.0;TRUE;NA;NA;NA;it is in Numbat, but with versioning ending in the string: https://doi.org/10.18112/openneuro.ds001226.v5.0.0;OpenNEURO;2018;CC0;open;0;1;NA
10.1038/s41597-022-01806-4;https://openneuro.org/datasets/ds002080;https://doi.org/10.17605/OSF.IO/5KFW3;TRUE;FALSE;TRUE;FALSE;it is in Numbat, but with versioning ending in the string: https://doi.org/10.18112/openneuro.ds001226.v5.0.0;OpenNEURO;2018;CC0;open;0;1;NA
10.1038/s41597-022-01806-4;NULL;https://doi.org/10.25493/1ECN-6SM;FALSE;FALSE;FALSE;FALSE;1 dataset per repo - different dataset was documented;OpenNEURO;2019;CC0;open;0;1;another OpenNeuro dataset listed in Numbat
10.1038/s41597-022-01822-4;10.17605/osf.io/8mbru;https://10.17605/OSF.IO/8MBRU;TRUE;NA;NA;NA;is in master file;OSF;2017;CC0;open;0;1;NA
10.1038/s41597-022-01822-4;https://alteredstatesdb.org/;https://10.17605/OSF.IO/8MBRU;FALSE;FALSE;FALSE;TRUE;does not look like repo, so most likely was not counted as a potential data containing source;n/a;no dataset to be downloaded;none;n/a;n/a;n/a;no dataset deposited,dataset is on OSF
